start,end,token,cleaned_token,overlap
52.703,52.936,し,し,False
52.936,53.07,て,て,False
53.07,53.27,な,な,False
53.27,53.437,い,い,False
53.437,53.971,で,で,False
53.971,54.104,か,か,False
54.104,54.204,く,く,False
54.204,54.438,しん,しん,False
54.438,54.571,を,を,False
54.571,54.738,ちょう,ちょう,False
54.738,55.139,だい,だい,False
55.139,55.305,さ,さ,False
55.305,55.472,れ,れ,False
55.472,55.706,ど,ど,False
55.706,55.873,も,も,False
55.873,56.073,だ,だ,False
56.073,56.24,し,し,False
56.24,56.407,て,て,False
56.407,56.607,か,か,False
56.607,56.807,た,た,False
56.807,56.974,ら,ら,False
56.974,57.174,ず,ず,False
58.509,58.709,こ,こ,False
58.709,58.876,ま,ま,False
58.876,59.043,っ,っ,False
59.043,59.243,ち,ち,False
59.243,59.41,ま,ま,False
59.41,59.543,う,う,False
59.543,59.777,ほ,ほ,False
59.777,59.977,ど,ど,False
59.977,60.144,に,に,False
60.144,60.544,きゅー,きゅー,False
60.544,60.744,と,と,False
60.744,60.944,な,な,False
60.944,61.145,か,か,False
61.145,61.311,の,の,False
61.311,61.678,じょ,じょ,False
61.678,62.046,よう,よう,False
62.046,62.246,し,し,False
62.246,62.613,たん,たん,False
62.613,62.98,れい,れい,False
62.98,63.18,た,た,False
63.18,63.347,ん,ん,False
63.347,63.547,び,び,False
63.547,63.714,か,か,False
63.714,63.914,ん,ん,False
63.914,64.515,び,び,False
64.515,64.681,み,み,False
64.681,65.049,がっ,がっ,False
65.049,65.249,て,て,False
65.249,65.616,だっ,だっ,False
65.616,65.816,て,て,False
65.816,66.016,な,な,False
66.016,66.183,く,く,False
66.183,66.55,しっ,しっ,False
66.55,66.717,く,く,False
66.717,66.917,な,な,False
66.917,67.117,そ,そ,False
67.117,67.284,ぶ,ぶ,False
67.284,67.684,り,り,False
67.684,68.052,しゅん,しゅん,False
68.052,68.252,じ,じ,False
68.252,68.585,めい,めい,False
68.585,68.952,てい,てい,False
68.952,69.153,お,お,False
69.153,69.353,ん,ん,False
69.353,69.553,な,な,False
69.553,69.753,みょ,みょ,False
69.753,69.92,う,う,False
69.92,70.687,り,り,False
70.687,70.888,あ,あ,False
70.888,71.055,い,い,False
71.055,71.255,し,し,False
71.255,71.422,ち,ち,False
71.422,71.622,ま,ま,False
71.622,71.822,う,う,False
71.822,72.022,の,の,False
72.022,73.09,さ,さ,False
73.09,73.323,さ,さ,False
73.323,73.524,れ,れ,False
73.524,73.69,ど,ど,False
73.69,73.857,あ,あ,False
73.857,74.024,い,い,False
74.024,74.224,し,し,False
74.224,74.425,ち,ち,False
74.425,74.625,ま,ま,False
74.625,74.792,う,う,False
74.792,74.992,の,の,False
74.992,75.392,さ,さ,False
86.97,87.171,か,か,False
87.171,87.337,こ,こ,False
87.337,87.538,を,を,False
87.538,87.805,く,く,False
87.805,87.938,ら,ら,False
87.938,88.105,う,う,False
88.105,88.338,ほ,ほ,False
88.338,88.505,ど,ど,False
88.505,88.672,に,に,False
88.672,89.073,ぽっ,ぽっ,False
89.073,89.239,ぷ,ぷ,False
89.239,89.44,な,な,False
89.44,89.64,え,え,False
89.64,89.84,れ,れ,False
89.84,90.007,じ,じ,False
90.007,90.174,ー,ー,False
90.174,90.541,はい,はい,False
90.541,90.741,き,き,False
90.741,91.108,こう,こう,False
91.108,91.341,か,か,False
91.341,91.508,ら,ら,False
91.508,91.708,か,か,False
91.708,91.909,お,お,False
91.909,92.076,る,る,False
92.076,92.242,ら,ら,False
92.242,92.443,ー,ー,False
92.443,92.609,め,め,False
92.609,92.976,ん,ん,False
92.976,93.177,だ,だ,False
93.177,93.544,ま,ま,False
93.544,93.644,し,し,False
93.644,93.744,う,う,False
93.744,94.011,ば,ば,False
94.011,94.244,わ,わ,False
94.244,94.445,れ,れ,False
94.445,94.678,る,る,False
94.678,95.012,こ,こ,False
95.012,95.212,い,い,False
95.212,95.412,で,で,False
95.412,95.579,も,も,False
95.579,95.712,い,い,False
95.712,95.813,い,い,False
95.813,96.18,の,の,False
96.18,96.547,だっ,だっ,False
96.547,96.713,て,て,False
96.713,96.914,こ,こ,False
96.914,97.114,の,の,False
97.114,97.314,こ,こ,False
97.314,97.514,え,え,False
97.514,97.714,は,は,False
97.714,97.915,（め,め,False
97.915,98.082,ちゃ,ちゃ,False
98.082,98.282,く,く,False
98.282,98.415,ちゃ,ちゃ,False
98.415,98.582,か,か,False
98.582,98.749,わ,わ,False
98.749,98.882,い,い,False
98.882,98.982,い,い,False
100.117,100.317,ほ,ほ,False
100.317,100.484,ど,ど,False
100.484,100.684,に,に,False
100.684,101.051,きゅー,きゅー,False
101.051,101.251,と,と,False
101.251,101.452,な,な,False
101.452,101.618,か,か,False
101.618,101.819,の,の,False
101.819,102.152,じょ,じょ,False
102.152,102.519,じょう,じょう,False
102.519,102.686,じ,じ,False
102.686,103.087,ほん,ほん,False
103.087,103.287,ぽ,ぽ,False
103.287,103.487,う,う,False
103.487,103.787,きょう,きょう,False
103.787,104.021,き,き,False
104.021,104.221,た,た,False
104.221,104.421,ん,ん,False
104.421,104.955,き,き,False
104.955,105.189,ど,ど,False
105.189,105.355,な,な,False
105.355,105.522,っ,っ,False
105.522,105.722,て,て,False
105.722,106.09,たっ,たっ,False
106.09,106.29,て,て,False
106.29,106.49,め,め,False
106.49,106.69,が,が,False
106.69,106.857,あ,あ,False
106.857,107.024,っ,っ,False
107.024,107.224,て,て,False
107.224,107.391,い,い,False
107.391,107.591,ち,ち,False
107.591,107.791,げ,げ,False
107.791,108.192,き,き,False
108.192,108.525,せん,せん,False
108.525,108.725,のう,のう,False
108.725,109.126,かん,かん,False
109.126,109.359,りょ,りょ,False
109.359,109.526,う,う,False
109.526,109.66,お,お,False
109.66,109.827,ん,ん,False
109.827,110.06,な,な,False
110.06,110.26,じょ,じょ,False
110.26,110.427,う,う,False
110.427,111.061,ず,ず,False
111.061,111.261,こ,こ,False
111.261,111.395,ま,ま,False
111.395,111.528,っ,っ,False
111.528,111.762,ち,ち,False
111.762,111.929,ま,ま,False
111.929,112.062,う,う,False
112.062,112.296,ほ,ほ,False
112.296,112.463,ど,ど,False
112.463,112.663,に,に,False
112.663,113.063,きゅー,きゅー,False
113.063,113.23,と,と,False
113.23,113.397,な,な,False
113.397,113.597,か,か,False
113.597,113.797,の,の,False
113.797,114.198,じょ,じょ,False
114.198,114.565,よう,よう,False
114.565,114.765,し,し,False
114.765,115.132,たん,たん,False
115.132,115.499,れい,れい,False
115.499,115.699,た,た,False
115.699,115.866,ん,ん,False
115.866,116.066,び,び,False
116.066,116.233,か,か,False
116.233,116.433,ん,ん,False
116.433,117.067,び,び,False
117.067,117.201,み,み,False
117.201,117.568,がっ,がっ,False
117.568,117.768,て,て,False
117.768,118.135,だっ,だっ,False
118.135,118.335,て,て,False
118.335,118.502,な,な,False
118.502,118.702,く,く,False
118.702,119.069,しっ,しっ,False
119.069,119.236,く,く,False
119.236,119.436,な,な,False
119.436,119.636,そ,そ,False
119.636,119.837,ぶ,ぶ,False
119.837,120.17,り,り,False
120.17,120.571,しゅん,しゅん,False
120.571,120.737,じ,じ,False
120.737,121.105,めい,めい,False
121.105,121.505,てい,てい,False
121.505,121.672,お,お,False
121.672,121.872,ん,ん,False
121.872,122.072,な,な,False
122.072,122.239,みょ,みょ,False
122.239,122.406,う,う,False
122.406,123.14,り,り,False
123.14,123.373,あ,あ,False
123.373,123.574,い,い,False
123.574,123.74,し,し,False
123.74,123.941,て,て,False
123.941,124.108,い,い,False
124.108,124.274,ん,ん,False
124.274,124.508,の,の,False
124.508,125.642,さ,さ,False
125.642,125.809,つ,つ,False
125.809,126.009,よ,よ,False
126.009,126.176,く,く,False
126.176,126.343,あ,あ,False
126.343,126.543,い,い,False
126.543,126.777,し,し,False
126.777,126.944,て,て,False
126.944,127.111,い,い,False
127.111,127.277,ん,ん,False
127.277,127.478,の,の,False
127.478,127.811,さ,さ,False
