start,end,token,cleaned_token,overlap
1.185,1.685,ねぇ,ねぇ,False
1.685,1.885,あ,あ,False
1.885,2.052,な,な,False
2.052,2.252,た,た,False
2.252,2.453,に,に,False
2.453,2.82,は,は,False
2.82,2.92,み,み,False
2.92,2.987,え,え,False
2.987,3.187,ない,ない,False
3.187,3.32,こ,こ,False
3.32,3.554,と,と,False
3.554,3.721,ば,ば,False
3.721,3.954,か,か,False
3.954,4.321,り,り,False
4.321,4.455,あ,あ,False
4.455,4.521,た,た,False
4.521,4.588,し,し,False
4.588,4.688,は,は,False
4.688,4.855,み,み,False
4.855,5.089,え,え,False
5.089,5.456,て,て,False
5.456,5.522,い,い,False
5.522,5.622,る,る,False
5.622,5.756,こ,こ,False
5.756,5.99,と,と,False
5.99,6.19,を,を,False
6.19,6.29,し,し,False
6.29,6.557,ら,ら,False
6.557,6.757,な,な,False
6.757,6.957,い,い,False
6.957,7.291,の？,の,False
7.291,7.458,せ,せ,False
7.458,7.524,な,な,False
7.524,7.591,か,か,False
7.591,7.858,に,に,False
7.858,7.958,つ,つ,False
7.958,8.058,け,け,False
8.058,8.258,ら,ら,False
8.258,8.459,れ,れ,False
8.459,8.792,た,た,False
8.792,8.926,だ,だ,False
8.926,8.993,れ,れ,False
8.993,9.093,か,か,False
9.093,9.193,の,の,False
9.193,9.36,き,き,False
9.36,9.56,す,す,False
9.56,9.76,の,の,False
9.76,9.927,あ,あ,False
9.927,10.294,と,と,False
10.294,10.494,ひ,ひ,False
10.494,10.694,と,と,False
10.694,10.861,り,り,False
10.861,11.061,じゃ,じゃ,False
11.061,11.261,か,か,False
11.261,11.428,う,う,False
11.428,11.628,わ,わ,False
11.628,11.829,け,け,False
11.829,11.996,の,の,False
11.996,12.162,な,な,False
12.162,12.396,い,い,False
12.396,12.529,そ,そ,False
12.529,12.73,れ,れ,False
12.73,12.93,も,も,False
13.697,13.864,み,み,False
13.864,14.064,て,て,False
14.064,14.264,み,み,False
14.264,14.465,ぬ,ぬ,False
14.465,14.631,ふ,ふ,False
14.631,14.832,り,り,False
14.832,14.999,な,な,False
14.999,15.165,だ,だ,False
15.165,15.532,け,け,False
16.5,16.7,わ,わ,False
16.7,16.867,ら,ら,False
16.867,17.001,っ,っ,False
17.001,17.234,ち,ち,False
17.234,17.434,ま,ま,False
17.434,17.601,う,う,False
17.601,17.768,ほ,ほ,False
17.768,17.935,ど,ど,False
17.935,18.135,に,に,False
18.135,18.535,きゅー,きゅー,False
18.535,18.736,と,と,False
18.736,18.936,な,な,False
18.936,19.103,か,か,False
19.103,19.303,の,の,False
19.303,19.67,じょ,じょ,False
19.67,20.037,じょう,じょう,False
20.037,20.204,じ,じ,False
20.204,20.604,ほん,ほん,False
20.604,20.804,ぽ,ぽ,False
20.804,21.005,う,う,False
21.005,21.372,きょう,きょう,False
21.372,21.538,き,き,False
21.538,21.739,た,た,False
21.739,21.939,ん,ん,False
21.939,22.506,き,き,False
22.506,22.673,ど,ど,False
22.673,22.873,な,な,False
22.873,23.04,っ,っ,False
23.04,23.24,て,て,False
23.24,23.64,たっ,たっ,False
23.64,23.807,て,て,False
23.807,24.008,め,め,False
24.008,24.174,が,が,False
24.174,24.341,あ,あ,False
24.341,24.508,っ,っ,False
24.508,24.742,て,て,False
24.742,24.908,い,い,False
24.908,25.075,ち,ち,False
25.075,25.309,げ,げ,False
25.309,25.676,き,き,False
25.676,26.043,せん,せん,False
26.043,26.243,のう,のう,False
26.243,26.61,かん,かん,False
26.61,26.81,りょ,りょ,False
26.81,27.011,う,う,False
27.011,27.177,お,お,False
27.177,27.378,ん,ん,False
27.378,27.544,な,な,False
27.544,27.745,じょ,じょ,False
27.745,27.945,う,う,False
27.945,28.679,ず,ず,False
28.679,28.879,あ,あ,False
28.879,29.046,い,い,False
29.046,29.246,し,し,False
29.246,29.38,て,て,False
29.38,29.613,い,い,False
29.613,29.78,ん,ん,False
29.78,30.014,の,の,False
30.014,31.115,さ,さ,False
31.115,31.315,つ,つ,False
31.315,31.482,よ,よ,False
31.482,31.682,く,く,False
31.682,31.849,あ,あ,False
31.849,32.049,い,い,False
32.049,32.249,し,し,False
32.249,32.449,て,て,False
32.449,32.616,い,い,False
32.616,32.783,ん,ん,False
32.783,32.983,の,の,False
32.983,33.384,さ,さ,False
34.284,34.685,ねぇ,ねぇ,False
34.685,34.918,せい,せい,False
34.918,35.152,しん,しん,False
35.152,35.285,か,か,False
35.285,35.419,ら,ら,False
35.419,35.652,ぜん,ぜん,False
35.652,35.919,しん,しん,False
35.919,36.053,ま,ま,False
36.053,36.186,で,で,False
36.186,36.42,ひょう,ひょう,False
36.42,36.653,めん,めん,False
36.653,36.787,か,か,False
36.787,36.92,ら,ら,False
36.92,37.154,ない,ない,False
37.154,37.421,めん,めん,False
37.421,37.521,ま,ま,False
37.521,37.621,で,で,False
37.621,37.921,のう,のう,False
37.921,38.188,てん,てん,False
38.188,38.322,か,か,False
38.322,38.422,ら,ら,False
38.422,38.622,せん,せん,False
38.622,38.889,たん,たん,False
38.889,38.989,ま,ま,False
38.989,39.189,で,で,False
39.189,39.289,し,し,False
39.289,39.556,り,り,False
39.556,39.757,た,た,False
39.757,39.957,い,い,False
39.957,40.357,の,の,False
40.357,40.424,そ,そ,False
40.424,40.524,れ,れ,False
40.524,40.591,か,か,False
40.591,40.691,ら,ら,False
40.691,40.958,さい,さい,False
40.958,41.125,きん,きん,False
41.125,41.225,き,き,False
41.225,41.325,い,い,False
41.325,41.458,た,た,False
41.458,41.658,おん,おん,False
41.658,41.792,が,が,False
41.792,41.925,く,く,False
41.925,42.059,か,か,False
42.059,42.192,ら,ら,False
42.192,42.426,さん,さん,False
42.426,42.659,ざい,ざい,False
42.659,42.793,し,し,False
42.793,42.926,た,た,False
42.926,43.093,そう,そう,False
43.093,43.227,が,が,False
43.227,43.327,く,く,False
43.327,43.427,ま,ま,False
43.427,43.66,で,で,False
43.66,43.894,かん,かん,False
43.894,44.061,ぜん,ぜん,False
44.061,44.228,はあ,はあ,False
44.228,44.428,く,く,False
44.428,44.495,し,し,False
44.495,44.595,な,な,False
44.595,44.695,い,い,False
44.695,44.795,と,と,False
44.795,44.928,き,き,False
44.928,45.195,が,が,False
45.195,45.329,す,す,False
45.329,45.562,ま,ま,False
45.562,45.763,な,な,False
45.763,45.929,い,い,False
45.929,46.33,の,の,False
46.33,46.397,と,と,False
46.397,46.497,や,や,False
46.497,46.597,か,か,False
46.597,46.663,く,く,False
46.663,46.83,いっ,いっ,False
46.83,47.031,た,た,False
47.031,47.231,って,って,False
47.231,47.398,じっ,じっ,False
47.398,47.598,さい,さい,False
47.598,47.798,の,の,False
47.798,47.998,もん,もん,False
47.998,48.198,だい,だい,False
48.198,48.399,は,は,False
48.399,48.465,そ,そ,False
48.465,48.565,の,の,False
48.565,48.732,がん,がん,False
48.732,48.899,ちゅう,ちゅう,False
48.899,49.099,あ,あ,False
49.099,49.299,た,た,False
49.299,49.5,し,し,False
49.5,49.867,なん,なん,False
49.867,50.067,わ,わ,False
50.067,50.234,り,り,False
50.234,50.434,く,く,False
50.434,50.534,ら,ら,False
50.534,50.634,い,い,False
50.634,51.001,に,に,False
51.001,51.168,な,な,False
51.168,51.368,っ,っ,False
51.368,51.568,て,て,False
51.568,51.735,る,る,False
51.735,52.102,か,か,False
52.102,52.269,あ,あ,False
52.269,52.469,あ,あ,False
52.469,52.569,か,か,False
52.569,52.703,く,く,False
